sl.no,modules,questions,marks,blooms_level,difficulty
1,1,Discuss the advantages of using the DBMS approach.,6,Understanding,easy
2,1,Explain three-schema architecture with a neat diagram. Why do we need mapping between schema levels?,6,Understanding,medium
3,1,Explain the component modules of DBMS and their interaction with the help of a diagram.,8,Understanding,medium
4,1,Define the following terms: (i) Weak entity (ii) DBMS catalog (iii) Snapshot (iv) Value sets (v) Cardinality ratio (vi) Degree of a relationship,6,remembering,easy
5,1,Explain the different categories of data models.,4,Understanding,easy
6,2,Write the ER diagram for an employee database. The constraints are as follows: (i) An employee works for a department (ii) Every department is headed by a manager (iii) An employee works on one or more projects (iv) An employee has dependents (v) A department controls the projects,8,applying,medium
7,2,What is meant by Integrity Constraint? Explain the importance of referential integrity constraint. How referential integrity constraint is implemented in SQL.,6,Understanding,medium
8,2,Write the relational algebra operations to perform the following queries: (i) Retrieve the name and address of all employees who work for the “Accounts” department. (ii) Retrieve the names of employers who have no dependents. (iii) Find the names of employees who work on all the projects controlled by department number 2.,6,applying,hard
9,2,"Explain the relational algebra operations from Set theory, with examples.",8,Understanding,medium
10,2,Explain the ER to relational mapping algorithm with suitable example for each step.,6,Understanding,medium
11,2,Write the SQL queries for the following database schema... (3 queries as listed),6,applying,medium
12,2,Explain with examples in SQL: (i) INSERT command (ii) UPDATE command,4,applying,easy
13,3,What is normalization? Explain 1NF and 2NF with examples.,10,Understanding,easy
14,3,"Given R(A, B, C, D, E) and F = {AB → C, B → D, C → E}. Find the candidate key. Decompose R into 3NF.",10,analyzing ,hard
15,3,Define trivial functional dependency. Explain the inference rules for functional dependencies.,10,remembering,easy
16,3,"What is meant by lossless join decomposition? Test whether the decomposition D = {R1(A,B,C), R2(C,D,E)} of R(A,B,C,D,E) with F = {A→B, C→D} is lossless.",10,analyzing ,hard
17,4,What is an ordered index? Explain B+ tree index structure.,10,Understanding,medium
18,4,List the different types of file organization. Explain heap file organization.,10,remembering,easy
19,4,What is a cost of query? List the different costs to execute a query.,5,remembering,easy
20,4,Explain selection operation with necessary algorithms.,5,Understanding,medium
21,4,Explain the steps in query processing.,10,Understanding,medium
22,5,What is a transaction? Explain ACID properties,10,Understanding,medium
23,5,Explain two-phase locking protocol.,10,Understanding,medium
24,5,Differentiate between serial and serializable schedule,5,analyzing ,medium
25,5,What is a deadlock? How is it prevented? Explain wait-die and wound-wait schemes.,5,analyzing ,hard
26,5,Explain immediate update recovery technique.,10,Understanding,medium
27,1,Define the following terms: i) Database ii) DBMS catalog iii) Entity iv) Snapshot v) Degree of a relationship,5,remembering,easy
28,1,Explain types of end-users with suitable examples,5,Understanding,easy
29,1,List and explain advantages of using DBMS approach,10,Understanding,easy
30,1,Define the following terms: i) Cardinality ii) Weak entity iii) Program data independence iv) Total participation v) Value sets,5,remembering,easy
31,1,Describe three schema architecture. Why do we need mappings between schema levels?,5,Understanding,medium
32,1,Explain different types of attributes in ER model with suitable examples for each,10,Understanding,medium
33,2,Explain the entity integrity and referential integrity constraints. Why is each considered important. Give examples,5,Understanding,medium
34,2,Discuss common and natural join with suitable examples using relational algebra notation,5,Understanding,medium
35,2,"Given the schema: Passenger, Agency, Flight, Booking. Give relation algebra expression for 5 different queries",10,Applying,Hard
36,2,Explain the ER to relational mapping algorithm with suitable example for each step,10,Understanding,Medium
37,2,Write SQL query for Employee database with 5 different complex queries,10,Applying,Hard
38,3,Explain cursors and its properties in embedded SQL with suitable example,5,Understanding,Medium
39,3,How are triggers defined in SQL? Explain with example,5,Understanding,Medium
40,3,"Illustrate insert, delete, update, alter and drop statements in SQL",10,Applying,Medium
41,3,"With an example, explain stored procedures in SQL",5,Understanding,Medium
42,3,Briefly explain types of JDBC drives,5,Understanding,Medium
43,3,Illustrate aggregate functions in SQL,10,Applying,Medium
44,4,Explain types of update anomalies with examples,5,Understanding,Medium
45,4,Explain Armstrong inference rules,5,Understanding,Hard
46,4,"What is the need for normalization? Explain 1NF, 2NF and 3NF with examples",10,Understanding,Medium
47,4,What is functional dependency? Write an algorithm to find minimal cover for set of functional dependencies,10,Analyzing,Hard
48,4,"Consider the schema R = ABCD with FDs F = {A → B, B → C}. State whether D1 is a lossless decomposition?",10,Analyzing,Hard
49,5,Define transaction. Discuss ACID properties,5,Remembering/Understanding,Easy
50,5,With a neat diagram explain transition diagram of a transaction,5,Understanding,Medium
51,5,Why concurrency control and recovery are needed in DBMS? Explain types of problems that may occur when two simple transactions run concurrently,10,Understanding,Medium
52,5,When deadlock and starvation problem occur? Explain how these problems can be resolved,10,Analyzing,Hard
53,5,Briefly discuss the two-phase locking techniques for concurrency control,10,Understanding,Medium
54,1,Describe the characteristics of database approach,6,Understanding,Easy
55,1,List and explain the criteria for classification of DBMS,6,Understanding,Medium
56,1,Write an ER diagram to represent CAR entity type with 2 key attributes (registration and Vehicle ID),8,Applying,Medium
57,1,Write an UML class diagram notation for company conceptual schema,10,Applying,Hard
58,1,Define the following terms: i) Data Model ii) Schema iii) Instance iv) Canned transaction v) Data Manipulation Language,10,Remembering,Easy
59,2,"Explain the concepts of specialization and Generalization, with the help of superclass",6,Understanding,Medium
60,2,Explain the different Relational Model constraints,6,Understanding,Medium
61,2,Create a table for the Works_In relationship shown in Fig. Q3(c),8,Applying,Medium
62,2,"For every project located in 'Stafford', list the project number, the controlling department number and the department managers last name, address and birth date",6,Applying,Hard
63,2,"Retrieve the birth date and address of the employees whose name is 'John B, Smith'",6,Applying,Easy
64,2,Retrieve the name and address of all employees who work for the 'Research' department,6,Applying,Medium
65,2,Retrieve the salary of every employee,2,Applying,Easy
66,3,"Discuss EXISTS and UNIQUE functions in SQL. Consider the COMPANY database given in Question number 04, write a query to list the name of the Manager who have at least one dependent",10,Applying,Hard
67,3,"With a real World example, explain the following: i) JDBC ii) Correlated nested queries iii) Stored Procedures iv) Schema change statements in SQL",10,Understanding,Medium
68,3,"Explain the usage of Aggregate function in SQL. Write an SQL query to find sum of the salaries of all employees, the maximum salary, the minimum salary and the average salary by renaming the columns in a single row table",10,Applying,Medium
69,3,Create an HTML form to collect user id and password fields and it also has to have two buttons one for reset and another for login,5,Applying,Medium
70,3,Write a short note on: i) JavaScript ii) CGI,5,Understanding,Medium
71,4,Describe the 3 main techniques to achieve first normal form for the relation by taking following examples schema,6,Understanding,Medium
72,4,Discuss the Informal guidelines to determine the quality of relations schema design with a suitable example,6,Understanding,Medium
73,4,"Discuss the Insertion, Deletion and Modification anomalies. Illustrate, why are they considered bad, with an example",8,Analyzing,Medium
74,4,"What do you mean by Normalization? Explain 2NF and BCNF, with a suitable example",6,Understanding,Medium
75,4,"Consider the universal relation R → A, B, C, D, E, F, G, H, I, J) and the set of functional dependencies. i) What is key of R? ii) Decompose R into 2NF and then 3NF relation",6,Analyzing,Hard
76,4,Write an algorithm to find a minimal cover F for a set of functional dependencies E,8,Analyzing,Hard
77,5,Discuss the ACID properties of database transaction,8,Understanding,Medium
78,5,Why concurrence control is needed? Demonstrate with an example,12,Understanding/Analyzing,Medium
79,5,Briefly explain 2 phase locking protocols,6,Understanding,Medium
80,5,Explain Transaction support in SQL,6,Understanding,Medium
81,5,Write a short note on: i) Single user and Multiuser system ii) Transaction roll back and Cascading roll back iii) Shadow paging iv) Database backup and recovery from catastrophic failure v) Deadlock prevention protocol,8,Understanding,Medium
82,1,"With neat diagram, describe ""Three Schema Architecture"" and ""Data Independence""",6,Understanding,Medium
83,1,Discuss the different types of user friendly interfaces and the types of user who typically use each,6,Understanding,Easy
84,1,"With a neat diagram, explain the component modules of DBMS and their interactions",8,Understanding,Medium
85,1,"Explain with the block diagram, the different phases of database design",6,Understanding,Medium
86,1,Draw an ER diagram of Banking Database. Assume your own entities (minimum 4) attributes and relationships. Specify 3NF tables,14,Applying/Creating,Hard
87,2,Briefly discuss different type of update operations on relational database. Show an example of a violation of the referential and entity integrity in each of the update operation,8,Understanding/Analyzing,Medium
88,2,Consider the two tables. Show the result of the following operations: (i) Natural Join (ii) Left Outer Join (iii) Right Outer Join (iv) Full Outer Join (v) Division operation,6,Applying,Medium
89,2,List and explain the characteristics of Relations,6,Understanding,Easy
90,2,Define the following: i) Primary key ii) Super key iii) Foreign key iv) Candidate key,4,Remembering,Easy
91,2,Discuss all the forms of ALTER Commands with example,6,Understanding,Medium
92,2,"Consider the following tables: Works (Pname, Cname, Salary), Lives (Pname, Street, City), Located_in (Cname, City). Write the following queries in Relational algebra: i) List the names of the people who work for the Company 'Wipro' along with the cities they live in. ii) Find the names of the persons who do not work for 'Infosys'. iii) Find the people whose salaries are more than that of all of the 'Oracle' employees. iv) Find the persons who works and lives in the same City. v) Find the names of the companies that are located in every city where the Company Infosys is located.",10,Applying,Hard
93,3,Describe the six clauses in the syntax of an SQL retrieval query. Show what type of constructs can be specified in each of six clauses,4,Understanding,Medium
94,3,How are Triggers and Assertions defined in SQL? Explain,6,Understanding,Medium
95,3,"Consider the following tables: Branch (Bname, Bcity, Assets), Account (Aceno, Bname, Acbal), Loan (Loanno, Bname, LoanAmt), Customer (Cname, Cstreet, Ccity), Depositer (Cname, Accnum), Borrow (Cname, Loannum). Write the following queries in SQL: i) Find all loan numbers for loans made at cantonment branch with loan amounts greater than 20000. ii) Find the names of all customers whose street address includes 'Main'. iii) Find the average balance for each branch, if average balance is greater than 12000. iv) Find the Customers who have an account, at all the branches located in ""Mysure"". v) Find all Customers who do not have loan at the bank, but do have an account.",10,Applying,Hard
96,3,How is view created and dropped? What problems are associated with updating view?,6,Understanding,Medium
97,3,"What is Cursor? With program segment, explain retrieving of tuples with embedded SQL in C",6,Applying,Hard
98,3,"Explain the concept of Create, Passing parameter, Call stored procedure from JDBC",8,Applying,Medium
99,4,Briefly explain the informal design guidelines used as measure to determine the quality of relations schema design,8,Understanding,Medium
100,4,What do you mean by Closure of Attributes? Write an algorithm to find closure of attributes,6,Understanding/Analyzing,Hard
101,4,"Given below are two set of FDs for a relation R(A, B, C, D, E). Are they equivalent? Set 1: A → B, AB → C, D → AC, D → E. Set 2: A → BC, D → AE",6,Analyzing,Hard
102,4,What do you mean by Multivalued Dependency? Explain the 4NF with example,6,Understanding,Hard
103,4,"Define First, Second and Third Normal forms by taking an example",8,Understanding,Medium
104,4,"Consider the following Relation R(A, B, C, D, E, F, G, H, I, J) with FDs {A, B} → C, A → {D, E}, D → J, B → {F, G}, F → {H, I}. How would you Normalize completely?",6,Analyzing,Hard
105,5,Describe the problems that occur when concurrent execution uncontrolled. Give examples,6,Understanding,Medium
106,5,Explain the transaction support in SQL,6,Understanding,Medium
107,5,"Consider the three transactions T1, T2 and T3 and schedule S1 & S2 given below. Determine whether each schedule is serializable or not? If serializable, write down the equivalent serial schedule. T1: R1(x), R1(z), W1(x); T2: R2(x), R2(y), W2(z), W2(y); T3: R3(x), R3(y), W3(y); S1: R1(x), R2(z), R1(z), R3(x), R3(y), W1(x), W2(x), W3(y), R3(y), W2(z), W3(y); S2: R1(x), R2(z), R3(x), R1(z), R2(y), W1(x), W2(x), W3(y), W2(y)",8,Analyzing,Hard
108,5,What is Schedule? Explain Conflict and view Serializability schedule with example,8,Understanding,Medium
109,5,Briefly discuss the two phase locking protocol used in concurrency control,6,Understanding,Medium
110,5,Briefly explain ARIES recovery process,6,Understanding,Hard
111,1,List and discuss advantages of Database Management System over File Processing System,6,Understanding,Easy
112,1,Explain three Schema Architecture and reason for need of mapping among schema level,8,Understanding,Medium
113,1,Explain different types of attributes that occur in an E-R diagram model with example,6,Understanding,Medium
114,1,Explain characteristics of the Database approach,6,Understanding,Easy
115,1,Discuss the different types of User friendly interfaces,6,Understanding,Easy
116,1,Draw an ER diagram for an AIRLINES database schema with atleast five entities. Also specify primary key and structural constraints,8,Applying/Creating,Hard
117,2,What are the basic operations that can change the states of relations in the database? Explain how the basic operations deal with constraints violations,6,Understanding,Medium
118,2,"Explain the terms Super key, Candidate Key and Primary key",4,Understanding,Easy
119,2,"Given schema: emp, dept, dept_loc, project, works_on, dependent. Give relation algebra: i) Retrieve name of manager of each department ii) For each project retrieve project number, name and number of employees who worked on that project iii) Retrieve names of employees who work on all projects controlled by departments iv) Retrieve names of employees who have no dependents v) Retrieve number of Male and Female employees",10,Applying,Hard
120,2,Describe the steps of an algorithm for ER to Relational mapping with example,6,Understanding,Medium
121,2,"Write command that is used for table creation. Explain how constraints are specified in SQL during table creation, with suitable example",4,Applying,Medium
122,2,"Given schema: Emp, dept, dept_loc, project, works_on, dependent. Give relation algebra: i) Retrieve name and address of employees who work for 'sports' department ii) Retrieve each department number, number of employees and average salary iii) List project number, controlling department number and manager's last name, address, birthdate iv) Retrieve names of employees with 2 or more dependents v) List female employees from dno=20 earning more than 50000",10,Applying,Hard
123,3,Define Database stored procedure. Explain creating and calling stored procedure with example,6,Understanding,Medium
124,3,What is SQLJ and how is it different from JDBC?,4,Understanding,Medium
125,3,"Given schema: Sailors(Sid,Sname,rating,age), Boats(bid,bname,color), Reserves(Sid,bid,day). Write SQL: i) Find ages of sailors whose name begins and ends with A and has atleast three characters ii) Find age of youngest sailor eligible to vote for each rating level with atleast two such sailors iii) Find names of sailors who have not reserved a red boat (use nested query) iv) Compute increments for rating of persons who have sailed two different boats on same day",10,Applying,Hard
126,3,What is CGI? Why was CGI introduced? What are the disadvantages of an architecture using CGI script?,6,Understanding,Medium
127,3,What is Dynamic SQL and how is it different from embedded SQL? Explain,4,Understanding,Medium
128,3,"Given schema: Sailors(Sid,Sname,rating,age), Boats(bid,bname,color), Reserves(Sid,bid,day). Write SQL: i) Find names of sailors who reserved at least one boat ii) Find sailors whose rating is better than some sailors called 'Jennifer' (nested query) iii) Find average age of sailor for each rating level with at least two sailors iv) Find name and age of oldest sailor",10,Applying,Hard
129,4,Which normal form is based on transitive functional dependencies and full functional dependency? Explain with example,6,Understanding,Medium
130,4,"A relation R satisfies: FDS: A→C, AC→D, E→AD, F→H. Find the cover for this set of FDS",6,Analyzing,Hard
131,4,"Consider universal relation R={A,B,C,D,E,F,G,H,I,J} with FDs F={AB→C, A→DE, B→F, F→GH, D→IJ}. Determine whether decomposition D1={R1,R2,R3}; R1={A,B,C,D,E}; R2={B,F,G,H}; R3={D,I,J} has lossless join property",8,Analyzing,Hard
132,4,"Write algorithm to check whether decomposed relations are in 3NF with dependency preservation and non-additive join property. Consider R=(U,C,L,A) with FDs F={P→LCA, LC→AP, A→C}. Decompose R into 3NF with dependency preservation and non-additive join property",10,Analyzing,Hard
133,4,"Define Normal Form. Explain 1NF, 2NF and 3NF with suitable examples for each",6,Understanding,Medium
134,4,"Consider two sets of FDs F={A→C, AC→D, E→AD, E→H} and G={A→CD, E→AH}. Are they equivalent?",4,Analyzing,Hard
135,5,What are the anomalies occur due to interleave execution? Explain them with example,6,Understanding,Medium
136,5,Explain different types of locks used in concurrent control,6,Understanding,Medium
137,5,Explain how shadow paging helps to recover from transaction failure,8,Understanding,Medium
138,5,Explain ACID property of transaction and system log,8,Understanding,Medium
139,5,When deadlock and starvation problem occurs? Explain how these problems can be resolved,6,Analyzing,Hard
140,5,Explain ARIES recovery algorithm with example,6,Understanding,Hard
141,1,Identify and Discuss: i. People who use database for performing day-to-day activities ii. People who maintain the database system environment,7,Understanding,Easy
142,1,Discuss the different types of user interfaces provided by the DBMS,8,Understanding,Easy
143,1,"Consider the schema: SAILOR (SID, SNAME, RATING, AGE) BOAT (BID, BNAME, COLOR) RESERVE (SID, BID, DAY). Write SQL: i) Find names of sailors who reserved boat 103 ii) Find SIDs of sailors with age over 20 who reserved RED boat",5,Applying,Medium
144,1,Explain three-schema architecture with neat diagram. Why mapping between schema levels? Briefly summarize Data Independence,7,Understanding,Medium
145,1,Define Data Model. Explain different categories of Data Models. Discuss DBMS languages in brief,8,Understanding,Medium
146,1,"Consider schema: EMPLOYEE (FName, Minit, LName, SSN, Salary, DNum) DEPARTMENT (DName, DNum, Mgr_Ssn) PROJECT (Pname, PNum, PLocation, DNum) WORKSON (ESSN, PNum, Hours). Write SQL: i) For every Project in 'Stafford', list project number, controlling dept number, manager's name and birth date ii) For employees of ""Research"" dept working on ""ProductX"", give 28% raise and retrieve employees with salary between 35,000-60,000",5,Applying,Hard
147,2,"Design ER model for COMPANY database with constraints: i) Every department must have one manager ii) Every employee attached to at most one department iii) Department should have at least five employees iv) Minimum 4, maximum 8 departments v) Every employee shall have 1-5 projects",7,Applying,Hard
148,2,Explain: i) Composite vs Atomic attributes ii) Relationship degree and Role Names,3,Understanding,Easy
149,2,Explain: i) Relationships as attributes ii) Participation Constraints,3,Understanding,Easy
150,2,"Explain steps in mapping ER Model to Relational Model. Illustrate for BANK DATABASE with Regular entities, Weak entities, 1:1, 1:N, M:N, ternary relations",10,Applying,Hard
151,2,Summarize Referential Integrity and Foreign Key constraints with examples,5,Understanding,Medium
152,2,"Explain steps in mapping ER Model to Relational Model. Illustrate for COMPANY DATABASE with Regular entities, Weak entities, 1:1, 1:N, M:N, ternary relations",10,Applying,Hard
153,2,Summarize characteristics of relations. Explain Values and NULLs in Tuples,5,Understanding,Medium
154,3,Consider Company Database schema. Write SQL: i) Retrieve names of employees without supervisors ii) Retrieve employees with dependent having same first name and sex iii) Retrieve employees with no dependents,9,Applying,Hard
155,3,Explain schema change statements in SQL with examples,6,Understanding,Medium
156,3,Explain how to create and drop views in SQL with example. Discuss problems with updating views,6,Understanding,Medium
157,3,"Consider schema: SAILOR (SID, SNAME, RATING, AGE) BOAT (BID, BNAME, COLOR) RESERVE (SID, BID, DAY). Write relational algebra: i) Find colors of boats reserved by Lubber ii) Find names of sailors who reserved red or green boat iii) Find names of sailors who reserved all boats called Interfake iv) Find SIDs of sailors over age 20 who not reserved Red boat",9,Applying,Hard
158,4,What is functional dependency? Write algorithm to find minimal cover for set of FDs with example,8,Understanding,Hard
159,4,"Consider R = {A,B,C,D,E,F,G,H,I,J} with FDs F = {AB→C, A→DE, B→F, F→GH, D→IJ}. Determine if decomposition D1 = {R1,R2,R3}; R1={A,B,C,D,E}; R2={B,F,G,H}; R3={D,I,J} has lossless join property",7,Applying,Hard
160,4,"What is need of normalization? Illustrate 2NF, 3NF and BCNF with examples",8,Understanding,Medium
161,4,"Consider FDs F = {A→C, AC→D, E→AD, E→H} and G = {A→CD, E→AH}. Are they equivalent?",7,Applying,Hard
162,5,Check if schedule is serializable using Precedence Graph: S1: R1(X); R2(Z); R1(Z); R3(X); R3(Y); W1(X); W3(Y); R3(Y); W4(Z); W4(Y),5,Understanding,Hard
163,5,Illustrate occurrence of deadlock and starvation problem? Explain how these problems can be resolved?,10,Applying,Hard
164,5,Explain characteristics specified by SET TRANSACTION statement in SQL,5,Understanding,Medium
165,5,Why concurrency control needed? Illustrate types of problems that occur when two transactions run concurrently,10,Applying,Hard
166,1,Identify and Discuss: i. People who use database for performing day-to-day activities ii. People who maintain the database system environment,7,Understanding,Easy
167,1,Discuss the different types of user interfaces provided by the DBMS,8,Understanding,Easy
168,1,Explain three-schema architecture with neat diagram. Why mapping between schema levels? Briefly summarize Data Independence,7,Understanding,Medium
169,1,Define Data Model. Explain different categories of Data Models. Discuss DBMS languages in brief,8,Understanding,Medium
170,2,"Design ER model for COMPANY database with constraints: i) Every department must have one manager ii) Every employee attached to at most one department iii) Department should have at least five employees iv) Minimum 4, maximum 8 departments v) Every employee shall have 1-5 projects",7,Applying,Hard
171,1,"Consider schema: EMPLOYEE (FName, Minit, LName, SSN, Salary, DNum) DEPARTMENT (DName, DNum, Mgr_Ssn) PROJECT (Pname, PNum, PLocation, DNum) WORKSON (ESSN, PNum, Hours). Write SQL: i) For every Project in 'Stafford', list project number, controlling dept number, manager's name and birth date ii) For employees of ""Research"" dept working on ""ProductX"", give 28% raise and retrieve employees with salary between 35,000-60,000",5,Applying,Hard
172,2,Explain: i) Composite vs Atomic attributes ii) Relationship degree and Role Names,3,Understanding,Easy
173,2,Design ER model for Bank database with constraints: i) Customer should have at least one account ii) Customer can avail maximum of two loans at any time,7,Applying,Hard
174,2,Explain: i) Relationships as attributes ii) Participation Constraints,3,Understanding,Easy
175,2,"Explain steps in mapping ER Model to Relational Model. Illustrate for BANK DATABASE with Regular entities, Weak entities, 1:1 relation, 1:1 relations, M:N relations and ternary relations if any",10,Applying,Hard
176,2,Summarize Referential Integrity and Foreign Key constraints with appropriate examples,5,Understanding,Medium
177,2,"Explain steps in mapping ER Model to Relational Model. Illustrate for COMPANY DATABASE with Regular entities, Weak entities, 1:1 relation, 1:1 relations, M:N relations and ternary relations if any",10,Applying,Hard
178,2,Summarize characteristics of relations. Briefly explain concept of Values and NULLs in Tuples,5,Understanding,Medium
179,3,"Consider Company Database schema: EMPLOYEE (Fname, Minit, Lname, Ssn, Bdate, Address, Sex, Salary, Super_ssn, Dno) DEPARTMENT (Dname, Dnumber, Mgr_ssn, Mgr_start_date) DLOCATIONS (Dnumber, Diocation) PROJECT (Pname, Pnumber, Plocation, Dnum) WORKS_ON (Essn, Pno, Hours) DEPENDENT (Essn, Dependent name, Sex, Bdate, Relationship). Write SQL: i) Retrieve names of employees without supervisors ii) Retrieve employees with dependent having same first name and sex iii) Retrieve employees with no dependents",9,Applying,Hard
180,3,Explain schema change statements in SQL with examples,6,Understanding,Medium
181,3,Explain how to create and drop views in SQL with example. Discuss problems associated with updating views,6,Understanding,Medium
182,4,What is functional dependency? Write algorithm to find minimal cover for set of FDs with suitable example,8,Understanding,Hard
183,5,Check whether given schedule is serializable or not using Precedence Graph: S1: R1(X); R2(Z); R1(Z); R3(X); R3(Y); W1(X); W3(Y); R3(Y); W2(Z); W2(Y),5,Understanding,Hard
184,5,Explain characteristics specified by SET TRANSACTION statement in SQL?,5,Understanding,Medium
185,5,Why concurrency control needed? Illustrate types of problems that may occur when two simple transactions run concurrently?,10,Applying,Hard
186,1,"Differentiate between ""Actors on the Scene"" and ""Workers behind the Scene"" in a DBMS environment.",5,Understanding,Easy
187,1,Explain the Three-Schema Architecture with a neat diagram. How does it ensure data independence?,8,Understanding,Medium
188,1,"What is a Data Model? Compare hierarchical, network, and relational data models.",6,Understanding,Medium
189,1,Explain the difference between a database schema and a database instance.,4,Understanding,Easy
190,1,Discuss the advantages of using a DBMS over traditional file processing systems.,6,Understanding,Easy
191,1,"What are SQL constraints? Explain NOT NULL, UNIQUE, and PRIMARY KEY with examples.",6,Understanding,Medium
192,1,Write an SQL query to change the branch of a student with USN '4SF21CS001' to 'ECE'.,1,Applying,Easy
193,1,Differentiate between candidate key and primary key with suitable examples.,5,Understanding,Medium
194,1,Explain the concept of data dictionary and its role in DBMS.,4,Understanding,Easy
195,1,Discuss how DBMS handles concurrent access and data redundancy compared to file systems.,6,Understanding,Medium
196,2,Define entity type and entity set. Give examples of each.,4,Understanding,Easy
197,2,"Explain different types of attributes with examples: simple, composite, single-valued, multi-valued, derived.",6,Understanding,Medium
198,2,What is a weak entity? How is it different from a strong entity? Explain with example.,6,Understanding,Medium
199,2,"Explain cardinality ratio with examples for binary relationships (1:1, 1:N, M:N).",5,Understanding,Medium
200,2,Design an ER diagram for a Hospital Management System with at least 5 entities and show relationships.,6,Applying,Hard
201,2,Design an ER diagram for a Library Management System showing weak entities and relationships.,6,Applying,Hard
202,2,What is a ternary relationship? Give an example and represent it in an ER diagram.,6,Understanding,Medium
203,2,Explain the steps involved in mapping an ER model to relational schema.,6,Understanding,Medium
204,2,"Map the following ER constructs to relations: Regular entity, Weak entity, 1:1 relationship, 1:N relationship.",6,Applying,Hard
